Id,Name,Inn,LegalAddress,ActualAddress
"df9f6e05-6549-40bc-b8c8-8f5254b85cd3","Райффайзенбанк, АО","7744000302","г. Москва, вн.тер.г. муниципальный округ Арбат, Смоленская-Сенная пл., д. 28","г. Москва, вн.тер.г. муниципальный округ Арбат, Смоленская-Сенная пл., д. 28"
"a5786388-816a-4b3d-b616-9830cb6ef045","ВК, МКПАО","3900015862","Калининградская обл., г.о. город Калининград, г. Калининград, ул. Октябрьская, д. 12, ПОМЕЩ. 23","Калининградская обл., г.о. город Калининград, г. Калининград, ул. Октябрьская, д. 12, ПОМЕЩ. 23"
"5343575d-51b5-492d-8c51-d764872b1d25","Сбербанк, ПАО","7707083893","г. Москва, ул. Вавилова, д. 19","г. Москва, ул. Вавилова, д. 19"
